Client_Company_ID,Curr_Client_ID,Location
29,24,Dillenburg
61,20,Fovissste
97,18,Cam Lâm
79,37,Sridadi
25,73,Karlstad
66,12,Kokaj
70,90,Wenceslau Braz
79,27,La Sarre
78,53,Leipzig
10,42,Xindong
55,15,Chanhe
13,7,Cimarelang
31,38,Jiangluo
84,73,Ning’an
71,53,Tongqing
70,57,Sápes
19,81,Si Racha
78,38,Jinjia
73,66,Wenheng
76,40,Xiongzhou
74,67,Ibusuki
37,44,Sendangkemulian
48,30,Xundian
66,73,Hà Tĩnh
1,98,Dongmafang
40,17,Didi Lilo
55,6,Gorzyce
2,50,Xingcheng
35,67,Paprotnia
24,36,Callahuanca
39,10,Gaokan
17,4,Örebro
41,97,Shangyuan
16,25,Sulūq
100,12,Těšany
15,54,Carrigtwohill
8,46,Pargas
95,74,Tver
3,86,Anguera
7,64,Portland
96,43,Bangassou
94,56,Tōbetsu
69,75,Knežica
80,25,Lumsden
28,94,Jeziora Wielkie
6,86,Houk
16,66,Al Maşdūr
74,12,Mogi das Cruzes
22,68,Cingambul
94,70,Jabłonowo Pomorskie
86,59,Beisijiazi
42,48,Zhangdan
68,3,Gradići
40,23,Sokhumi
13,87,Salmi
84,24,Närpes
6,19,Louisville
20,62,Aurillac
39,9,Gaborone
48,38,Winton
81,25,Camajuaní
14,34,Talisay
72,27,Zango
78,94,Tomorlog
42,100,Baykit
34,49,Lypnyazhka
45,29,Sindangsari
100,41,Xinqiao
54,81,Zuru
59,39,Karangsuko
12,92,Pobé
17,6,Kaya
38,40,Waru Selatan
33,93,Nowshera Cantonment
10,4,Dhali
85,15,Magalalag
72,90,Yulao
100,72,Zalţan
86,63,Žandov
4,1,Íquira
48,7,Kimberley
31,66,Tacheng
89,56,Padangpanjang
84,1,Lagoa
66,8,Zhuangbu
100,28,Santol
21,23,Lobuk
28,49,Bokkos
31,29,Alannay
65,60,Nelahozeves
58,22,Llocllapampa
94,16,Hehu
100,43,Gulod
18,60,Yono
45,78,Timaru
72,58,Almaznyy
51,6,Kondinskoye
6,73,Petong
95,68,Shitong
11,41,Chiriguaná
